centro_codigo,centro_nombre,centro_tipo_descripcion,centro_titularidad,direccion_via_tipo,direccion_via_nombre,direccion_numero,direccion_codigo_postal,municipio_codigo,municipio_nombre,municipio_wikidata,url_colegio,direccion_coor_x,direccion_coor_y
28010527,COSTA RICA,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,de Camarena,247,28047,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.costarica.madrid,-3.755965896,40.38548511
28010539,CUBA,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,de Tembleque,58,28024,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.cuba.madrid,-3.761659305,40.39515952
28010540,DIVINO MAESTRO,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,PASEO,de Extremadura,165,28011,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cc.divinomaestro.madrid,-3.74344157,40.4079268
28010552,DOCTOR FEDERICO RUBIO,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,AVDA,del Doctor Federico Rubio y Galí,53,28039,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.federicorubio.madrid,-3.711323544,40.4524172
28010576,ERMITA DEL SANTO,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,PASEO,de la Ermita del Santo,18,28011,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.ermitadelsanto.madrid,-3.723462182,40.41093644
28010591,FELIPE II,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,Vía Límite,12,28029,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.felipesegundo.madrid,-3.697173785,40.47315197
28010606,FERNANDEZ MORATIN,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,AVDA,de Valladolid,2,28008,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.fernandezmoratin.madrid,-3.727073624,40.42672463
28010618,FERNANDO EL CATOLICO,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,de Fernando el Católico,16,28015,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.fernandoelcatolico.madrid,-3.709468705,40.43415834
28010643,FRANCISCO DE LUIS,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,del Corregidor Rodrigo Rodríguez,5,28030,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.franciscodeluis.madrid,-3.660304434,40.4088459
28010655,GARCIA MORENTE,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,RONDA,Sur,229,28053,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.garciamorente.madrid,-3.665447538,40.37340166
